,MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
0,685142,2285,ZIM PSL,Zimbabwe Premier Soccer League,Z,203,Zimbabwe,J,26361,Dynamos FC,26313,FC Platinum,0.0,1.75,8.5,0.0,0.75,4,0,0,3,3,3,3,0,0,67,72,48,66,1,2,0,5,0,0,FT,0
1,685290,749,ZAF ND1,South Africa National Div 1,S,37,South Africa,N,20033,Steenberg United,32395,TS Galaxy,-0.25,2.25,9.5,0.0,1.0,4.5,2,2,3,9,0,0,0,0,67,102,31,64,5,4,1,6,0,0,77,1
2,685326,713,TUN L1,Tunisia League 1,T,55,Tunisia,T,5086,JS Kairouanaise,5321,Stade Tunisien,-0.25,2.0,8.5,0.0,0.75,4,0,1,6,1,1,2,0,0,120,78,81,21,2,4,4,1,62,38,72,1
3,685327,713,TUN L1,Tunisia League 1,T,55,Tunisia,T,6213,Bizertin,3259,CS Sfaxien,+0.25,1.75,8.5,0.0,0.75,4,1,2,2,3,0,2,0,0,48,56,21,34,1,4,3,5,0,0,71,1
4,685325,713,TUN L1,Tunisia League 1,T,55,Tunisia,T,27923,AS Slimane,7637,CS Hammam Lif,-0.5,2.0,8,-0.25,0.75,3.5,1,0,4,3,2,3,0,0,50,55,48,34,5,2,1,2,0,0,69,0
5,685067,238,DZA D1,Algeria Division 1,A,111,Algeria,A,27256,AS Ain M'lila,18968,US Biskra,-0.5,2.0,8.5,-0.25,0.75,4,3,0,8,2,1,0,0,0,62,63,47,40,5,0,5,1,47,53,50,1
6,685597,2336,Albania CP,Albania Championship,A,53,Albania,A,15544,KS Flamurtari Vlore,27826,Vllaznia Shkoder,+0.5,1.75,,+0.25,0.75,,1,1,1,1,1,0,1,0,74,66,36,47,1,2,3,6,0,0,48,1
7,685227,833,UEFA YL,UEFA Youth League,U,4,International,G,7901,Benfica U19,8287,Lyon U19,-0.25,3.25,10,0.0,1.25,4.5,1,1,2,1,3,2,0,0,85,68,67,34,1,1,8,1,59,41,48,1
8,685345,771,MAR Cup,Morocco Cup,M,46,Morocco,M,19040,TAS Casablanca,2974,Ittihad Khemisset,-0.25,2.0,9.5,0.0,0.75,4.5,0,1,1,1,0,0,0,0,34,27,21,12,1,1,4,0,62,38,47,1
9,685188,889,IND SL,India Super League,I,17,India,Y,16581,FC Goa,9835,Chennaiyin FC,-1.0,3.0,10.5,-0.25,1.25,5,1,0,3,4,1,0,0,0,68,48,45,32,4,2,2,1,54,46,46,1
10,685250,833,UEFA YL,UEFA Youth League,U,4,International,G,5027,Inter Milan U19,3118,Borussia Dortmund U19,-0.75,3.25,10,-0.25,1.25,4.5,4,1,3,2,2,0,0,0,40,64,42,39,5,3,1,6,43,57,48,1
11,685433,704,ARG R,Argentina Reserve League,A,32,Argentina,A,16042,Almagro Reserves,8320,Quilmes Reserves,+0.25,2.5,9.5,+0.25,1.0,4.5,1,1,1,3,1,1,0,0,39,54,29,23,1,3,5,3,0,0,HT,1
12,685165,783,CMR E1,Cameroon Elite One,C,54,Cameroon,K,19979,Dragon Club Yaounde,19752,UMS de Loum,-0.25,1.75,8.5,-0.25,0.75,4,0,0,2,3,3,2,0,0,50,44,10,5,2,2,4,0,57,43,47,0
13,685168,783,CMR E1,Cameroon Elite One,C,54,Cameroon,K,21730,Stade Renard de Melong,14394,Canon de Yaounde,0.0,1.75,,0.0,0.75,,1,0,1,5,0,1,0,0,57,47,27,40,4,2,2,2,0,0,HT,1
14,685269,783,CMR E1,Cameroon Elite One,C,54,Cameroon,K,14393,Bamboutos de Mbouda,19775,AS Fortuna Mfou,-0.25,2.0,,0.0,0.75,,0,0,0,1,1,2,0,0,50,47,36,35,1,2,2,1,0,0,HT,0
15,685270,833,UEFA YL,UEFA Youth League,U,4,International,G,13172,Korona Kielce U19,28985,Real Zaragoza U19,+0.75,2.75,9.5,+0.75,0.75,4.5,1,1,1,0,2,1,1,0,49,70,18,40,1,1,0,3,66,34,46,1
16,685544,969,GRC A Cup,Greece Amateur Cup,G,13,Greece,X,38454,Ermis Liosion,38455,Aps Ikaros,+1.0,3.75,,+0.5,1.5,,2,0,2,1,0,0,0,0,66,64,33,11,7,1,6,0,0,0,HT,1
17,685560,861,IRQ L,Iraq League,I,66,Iraq,Y,36174,Al Talaba,36145,Naft Al Junoob,-0.25,2.25,,+0.5,0.5,,1,2,1,4,0,1,0,0,51,56,24,30,2,5,2,2,0,0,HT,1
18,682493,191,RUS D1,Russia Division 1,R,12,Russia,E,1318,Neftekhimik Nizhnekamsk,1331,SKA Energia Khabarovsk,-0.25,2.25,10,-0.25,1.0,4.5,0,0,0,1,0,0,0,0,8,6,5,7,0,0,0,1,42,58,5,1
19,682489,191,RUS D1,Russia Division 1,R,12,Russia,E,5372,Rotor Volgograd,1303,Luch-Energiya Vladivostok,-1.0,2.25,9,-0.25,1.0,4,0,0,2,0,0,0,0,0,1,4,5,2,0,0,0,0,54,46,2,1
